Song,Artist,source,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Business,Tiësto,not_hot,2mltIbKkhQqyh8gCzaqxqA,0.391,0.816,2,-5.746,0,0.066,0.0169,0.0,0.0893,0.457,160.001,audio_features,2mltIbKkhQqyh8gCzaqxqA,spotify:track:2mltIbKkhQqyh8gCzaqxqA,https://api.spotify.com/v1/tracks/2mltIbKkhQqyh8gCzaqxqA,https://api.spotify.com/v1/audio-analysis/2mltIbKkhQqyh8gCzaqxqA,170683,4
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,not_hot,7sliFe6W30tPBPh6dvZsIH,0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569,audio_features,7sliFe6W30tPBPh6dvZsIH,spotify:track:7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/tracks/7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/audio-analysis/7sliFe6W30tPBPh6dvZsIH,139326,4
Mood (feat. iann dior),24kGoldn,not_hot,3qXsX3mYSsD1DmAvc3PE3N,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,3qXsX3mYSsD1DmAvc3PE3N,spotify:track:3qXsX3mYSsD1DmAvc3PE3N,https://api.spotify.com/v1/tracks/3qXsX3mYSsD1DmAvc3PE3N,https://api.spotify.com/v1/audio-analysis/3qXsX3mYSsD1DmAvc3PE3N,229627,4
Entre Nosotros,"Tiago PZK, LIT killah",not_hot,5d4oN7DebVGIF58M2UN1Nk,0.729,0.513,5,-6.345,0,0.0455,0.494,1.1e-06,0.137,0.789,170.064,audio_features,5d4oN7DebVGIF58M2UN1Nk,spotify:track:5d4oN7DebVGIF58M2UN1Nk,https://api.spotify.com/v1/tracks/5d4oN7DebVGIF58M2UN1Nk,https://api.spotify.com/v1/audio-analysis/5d4oN7DebVGIF58M2UN1Nk,192353,3
Fiel - Remix,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",not_hot,3lcfs9Qjfxzy00VSVkixDv,0.818,0.51,2,-7.05,0,0.408,0.209,0.0,0.211,0.416,129.057,audio_features,3lcfs9Qjfxzy00VSVkixDv,spotify:track:3lcfs9Qjfxzy00VSVkixDv,https://api.spotify.com/v1/tracks/3lcfs9Qjfxzy00VSVkixDv,https://api.spotify.com/v1/audio-analysis/3lcfs9Qjfxzy00VSVkixDv,173026,4
Build a Bitch,Bella Poarch,not_hot,5Q0Nhxo0l2bP3pNjpGJwV1,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,5Q0Nhxo0l2bP3pNjpGJwV1,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1,202067,4
"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam",not_hot,1pDbGAAH5GQ8U0KG4fI77H,0.619,0.606,1,-4.252,1,0.0784,0.0268,0.0,0.375,0.0669,140.023,audio_features,1pDbGAAH5GQ8U0KG4fI77H,spotify:track:1pDbGAAH5GQ8U0KG4fI77H,https://api.spotify.com/v1/tracks/1pDbGAAH5GQ8U0KG4fI77H,https://api.spotify.com/v1/audio-analysis/1pDbGAAH5GQ8U0KG4fI77H,97770,4
Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch",not_hot,11pn4LFXCIXyprWQk8RSlM,0.613,0.797,7,-5.564,0,0.299,0.0185,0.0,0.279,0.336,145.011,audio_features,11pn4LFXCIXyprWQk8RSlM,spotify:track:11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/tracks/11pn4LFXCIXyprWQk8RSlM,https://api.spotify.com/v1/audio-analysis/11pn4LFXCIXyprWQk8RSlM,165589,4
NDA,Billie Eilish,not_hot,3a36nM6fPVA8K1vqq6d03o,0.64,0.891,10,-4.639,0,0.135,0.00467,0.0,0.132,0.449,148.054,audio_features,3a36nM6fPVA8K1vqq6d03o,spotify:track:3a36nM6fPVA8K1vqq6d03o,https://api.spotify.com/v1/tracks/3a36nM6fPVA8K1vqq6d03o,https://api.spotify.com/v1/audio-analysis/3a36nM6fPVA8K1vqq6d03o,234324,3
Rasputin,"Majestic, Boney M.",not_hot,368eeEO3Y2uZUQ6S5oIjcu,0.786,0.853,5,-4.955,0,0.0589,0.273,0.0,0.106,0.963,125.107,audio_features,368eeEO3Y2uZUQ6S5oIjcu,spotify:track:368eeEO3Y2uZUQ6S5oIjcu,https://api.spotify.com/v1/tracks/368eeEO3Y2uZUQ6S5oIjcu,https://api.spotify.com/v1/audio-analysis/368eeEO3Y2uZUQ6S5oIjcu,157252,3
